tweet_id,p1,p1_conf,p2,p2_conf,p3,p3_conf,retweet_count,favorite_count,timestamp,text,rating,dog_stage
666020888022790149,welsh_springer_spaniel,0.465074,collie,0.156665,shetland_sheepdog,0.0614285,494,2514,2015-11-15 22:32:08 +0000,Here we have a Japanese Irish Setter. Lost eye in Vietnam (?). Big fan of relaxing on stair. 8/10 would pet https://t.co/BLDqew2Ijj,0.8,
666029285002620928,redbone,0.506826,miniature_pinscher,0.07419169999999999,rhodesian_ridgeback,0.07201,46,125,2015-11-15 23:05:30 +0000,This is a western brown Mitsubishi terrier. Upset about leaf. Actually 2 dogs here. 7/10 would walk the shit out of https://t.co/r7mOb2m0UI,0.7,
666033412701032449,german_shepherd,0.596461,malinois,0.13858399999999998,bloodhound,0.116197,43,121,2015-11-15 23:21:54 +0000,Here is a very happy pup. Big fan of well-maintained decks. Just look at that tongue. 9/10 would cuddle af https://t.co/y671yMhoiR,0.9,
666044226329800704,rhodesian_ridgeback,0.408143,redbone,0.360687,miniature_pinscher,0.222752,135,290,2015-11-16 00:04:52 +0000,This is a purebred Piers Morgan. Loves to Netflix and chill. Always looks like he forgot to unplug the iron. 6/10 https://t.co/DWnyCjf2mx,0.6,
666049248165822465,miniature_pinscher,0.560311,rottweiler,0.243682,doberman,0.154629,41,105,2015-11-16 00:24:50 +0000,Here we have a 1949 1st generation vulpix. Enjoys sweat tea and Fox News. Cannot be phased. 5/10 https://t.co/4B7cOc1EDq,0.5,
666050758794694657,bernese_mountain_dog,0.651137,english_springer,0.263788,greater_swiss_mountain_dog,0.0161992,56,130,2015-11-16 00:30:50 +0000,This is a truly beautiful English Wilson Staff retriever. Has a nice phone. Privileged. 10/10 would trade lives with https://t.co/fvIbQfHjIe,1.0,
666058600524156928,miniature_poodle,0.201493,komondor,0.192305,soft-coated_wheaten_terrier,0.08208610000000001,57,109,2015-11-16 01:01:59 +0000,Here is the Rand Paul of retrievers folks! He's probably good at poker. Can drink beer (lol rad). 8/10 good dog https://t.co/pYAJkAe76p,0.8,
666063827256086533,golden_retriever,0.77593,tibetan_mastiff,0.0937178,labrador_retriever,0.07242660000000001,211,462,2015-11-16 01:22:45 +0000,This is the happiest dog you will ever see. Very committed owner. Nice couch. 10/10 https://t.co/RhUEAloehK,1.0,
666071193221509120,gordon_setter,0.503672,yorkshire_terrier,0.174201,pekinese,0.109454,57,142,2015-11-16 01:52:02 +0000,Here we have a northern speckled Rhododendron. Much sass. Gives 0 fucks. Good tongue. 9/10 would caress sensually https://t.co/ZoL8kq2XFx,0.9,
666073100786774016,walker_hound,0.260857,english_foxhound,0.17538199999999998,ibizan_hound,0.0974705,157,315,2015-11-16 01:59:36 +0000,Let's hope this flight isn't Malaysian (lol). What a dog! Almost completely camouflaged. 10/10 I trust this pilot https://t.co/Yk6GHE9tOY,1.0,
